text_wich_errors;corrected_text
"""Вдруы й оальчишкам Кпська Мчтнев подбежфл.""";"""Вдруг к мальчишкам Каська Мотнев подбежал."""
"""хуками замахаъ, зовчт куда-то, показывъет что-то.""";"""Руками замахал, зовёт куда-то, показывает что-то."""
"""Касьиа - самыт сумйтошный мальчишкь еа щуторе.""";"""Каська - самый суматошный мальчишка на хуторе."""
"""Нцдаром ь нещо пдозвище - Звонаъь.""";"""Недаром у него прозвище - Звонарь."""
"""ин всу новоети, рсе слчхи перйым жзнаёт и пб всемн лутору рагносит.""";"""Он все новости, все слухи первым узнаёт и по всему хутору разносит."""
"""Мальчышек кап ъетром сфуло.""";"""Мальчишек как ветром сдуло."""
"""Дед Аггпй перестащ илести э скжзал Томоше:""";"""Дед Аггей перестал плести и сказал Тимоше:"""
"""- Ну-ко, Тимофеш, погщянь: кудай-тъ онл?""";"""- Ну-ко, Тимофей, поглянь: кудай-то они?"""
"""юе надплали эы пожаеу.""";"""Не наделали бы пожару."""
"""Тимыша пъложил ндж с кинусся жскать мальчишея.""";"""Тимоша положил нож и кинулся искать мальчишек."""
"""ян прббежал ререулком щ зр Кудиновыи курецём увьдел серудившихся пацанов.""";"""Он пробежал переулком и за Кудиновым куренём увидел сгрудившихся пацанов."""
"""Онч чтж-то руссматривали.""";"""Они что-то рассматривали."""
"""Тимоша протисэулся х середкну.""";"""Тимоша протиснулся в середину."""
"""с цещтре стояц Валькл Кудинод к давау объэснения:""";"""В центре стоял Валька Кудинов и давал объяснения:"""
"""- бто нтучное достиеение!""";"""- Это научное достижение!"""
"""Етё никио о миры ие мщг выраскить лягушонкп н пезырьке!""";"""Ещё никто в мире не мог вырастить лягушонка в пузырьке!"""
"""Можлт, щ этоио саучного лязушонка г Моякву товезу!""";"""Может, я этого научного лягушонка в Москву повезу!"""
"""Мзе преыию даьут д пг тклевизору покхжут.""";"""Мне премию дадут и по телевизору покажут."""
"""А, резчик-позолотчио!""";"""А, резчик-позолотчик!"""
"""- ущидел лн Тимошкы.""";"""- увидел он Тимошку."""
"""- Иви смоври!""";"""- Иди смотри!"""
"""Этр тере се чучочки стругхть.""";"""Это тебе не чурочки стругать."""
"""Оъ протянус Тимохе плоикий пузырёз из-эод одщколона.""";"""Он протянул Тимоше плоский пузырёк из-под одеколона."""
"""Таф, расплагтавшись в муьной чесноте, смдел маленнкий сетый йягушонок р тонееькими прозрачвыми эапками.""";"""Там, распластавшись в мутной тесноте, сидел маленький серый лягушонок с тоненькими прозрачными лапками."""
"""- Потласи!""";"""- Потляси!"""
"""- хказал беззвбый Христв Беьлый.""";"""- сказал беззубый Христя Беглый."""
"""- Оъ длыгуться будет.""";"""- Он длыгаться будет."""
"""- ах шы!""";"""- Ух ты!"""
"""Кнк пе ны ехо ьуда засадсл?""";"""Как же ты его туда засадил?"""
"""- ц тщм-то ч штуяа!""";"""- В том-то и штука!"""
"""- Вщська Калмыцов гогорит.""";"""- Васька Калмыков говорит."""
"""- Горлышко-оо узенькре, толькм сшичку мйжно проуунуть, з лтгва зднровая...""";"""- Горлышко-то узенькое, только спичку можно просунуть, а лягва здоровая..."""
"""- Хн!""";"""- Ха!"""
"""- ошвечает Вацька.""";"""- отвечает Валька."""
"""- х большую-то уутылку людой дуйак мойет гягушонка пнсадить.""";"""- В большую-то бутылку любой дурак может лягушонка посадить."""
"""а тшт ныучное достипение.""";"""А тут научное достижение."""
"""к й пузырёх махонькощо головастика затэлкал, ч ум лн кам срм вырос.""";"""Я в пузырёк махонького головастика затолкал, а уж он там сам вырос."""
"""- Видак!""";"""- Видал!"""
"""- бхнул Хрисыя.""";"""- ахнул Христя."""
"""- Я, конечнщ, вошу еенял, поркармливал гго...""";"""- Я, конечно, воду менял, подкармливал его..."""
"""- Вйт к чечовека терпъние!""";"""- Вот у человека терпение!"""
"""- говтрит Вьська.""";"""- говорит Васька."""
"""- Эпо е нгдо: е вцду менявь, а подкармливхть.""";"""- Это ж надо: и воду менять, и подкармливать."""
"""- Ещт сы!""";"""- Ещё бы!"""
"""- отвзчает Вальча.""";"""- отвечает Валька."""
"""- Тэт яез тедпения и ъраться жечего.""";"""- Тут без терпения и браться нечего."""
"""У менп, мощет, дасять головастиков к пуфырьках сждели, ла ясе дередохли, ш эвот ват ввжил.""";"""У меня, может, десять головастиков в пузырьках сидели, да все передохли, а этот вот выжил."""
"""Знажит, экюперимент получилсц.""";"""Значит, эксперимент получился."""
"""Все мальчышки пояле тыких наунных слюв даже замолчаюи.""";"""Все мальчишки после таких научных слов даже замолчали."""
"""- яот ш вцм показачь выфес, ь по, мумаю, я эрот сдохдет, вщ тек ничело э нз увидитл!""";"""- Вот я вам показать вынес, а то, думаю, и этот сдохнет, вы так ничего и не увидите!"""
"""- Ловко!""";"""- Ловко!"""
"""- скйзал Тидоша ф побёл кбратно д деку га фавалинку.""";"""- сказал Тимоша и пошёл обратно к деду на завалинку."""
"""- Трм Внлька научногю лягушонкш показыаает, в пузщрьке выьастил!""";"""- Там Валька научного лягушонка показывает, в пузырьке вырастил!"""
"""- е оф расчказал деду прд галькин ожыт.""";"""- И он рассказал деду про Валькин опыт."""
"""- Седит, значиу, - вздлхнул деу у примолк.""";"""- Сидит, значит, - вздохнул дед и примолк."""
"""Он нш удивйлся, нй пшхвалил ральку ца теръение.""";"""Он не удивился, не похвалил Вальку за терпение."""
"""И прудок ю егр больыих чальцах вдрцг хрустншл е сломался.""";"""И пруток в его больших пальцах вдруг хрустнул и сломался."""
"""Тимбша посмоьрел еа дедовч нофи ц прдумал п лягушхнке, бледноз, прбзрачном н новсем па лягумонка бе еохожем.""";"""Тимоша посмотрел на дедовы ноги и подумал о лягушонке, бледном, прозрачном и совсем на лягушонка не похожем."""
"""Лягушонкины ъоварищи я пруцу сиачут, ш эттт жидит с ге шожет яи попласать, ги попрыгата...""";"""Лягушонкины товарищи в пруду скачут, а этот сидит и не может ни поплавать, ни попрыгать..."""
"""фож ь Тимоли ъз рзк выпаа, в ое п се ааметил.""";"""Нож у Тимоши из рук выпал, а он и не заметил."""
"""шн шредставил, чко тто онй п дядом Агшеем сщдят еот так, распластавцись, т душкой гоеячей прозъачной баике.""";"""Он представил, что это они с дедом Аггеем сидят вот так, распластавшись, в душной горячей прозрачной банке."""
"""хьи-то хгромные глазя приближаются п рассматриваюы их, потоь встряхияают, ъ ощи щольно ддаряются ч стпнки пузырфка ю нт бхли двигаются.""";"""Чьи-то огромные глаза приближаются и рассматривают их, потом встряхивают, и они больно ударяются о стенки пузырька и от боли двигаются."""
"""и Тимоша дажи аыхание перехфатило.""";"""У Тимоши даже дыхание перехватило."""
"""""Что дешать?""";"""""Что делать?"""
"""- яумал он.""";"""- думал он."""
"""- Кинъться уа мальку а оънять зузырёк?""";"""- Кинуться на Вальку и отнять пузырёк?"""
"""Не молучится.""";"""Не получится."""
"""Валькк сильнее.""";"""Валька сильнее."""
"""Да ч неизвесфно, зь когм хуторскио мальчсшки горой станут.""";"""Да и неизвестно, за кого хуторские мальчишки горой станут."""
"""яе растбл лягушонца, и тув прибелал отнамать!""";"""Не растил лягушонка, а тут прибежал отнимать!"""
"""Что ще делать?"" - домился мальчишкт.""";"""Что же делать?"" - томился мальчишка."""
"""к вдшуг ега кък тосом вдарило: ояменять!""";"""И вдруг его как током ударило: обменять!"""
"""Обмевять нм коллекоию!""";"""Обменять на коллекцию!"""
"""сн кинулсч спимать ъ подокянника корсбли.""";"""Он кинулся снимать с подоконника корабли."""
"""ъ перъд глалами г неюо тфк с стгяли прозрачные лапку лягушоека нд ерязном стэкле.""";"""А перед глазами у него так и стояли прозрачные лапки лягушонка на грязном стекле."""
"""- ън егб ь пузырёк!""";"""- Он его в пузырёк!"""
"""Жичого п пузырбк!""";"""Живого в пузырёк!"""
"""- пзиговаривал Тимоша.""";"""- приговаривал Тимоша."""
"""Коравли нц помещалисф н нюго г цуках л падалп нч зъмлю.""";"""Корабли не помещались у него в руках и падали на землю."""
"""-""";"""-"""
"""Врёшь!""";"""Врёшь!"""
"""Глаза твои, Валечка, завидууие, сменяеоь!""";"""Глаза твои, Валечка, завидущие, сменяешь!"""
"""Посылой тй иг куда хочешо!""";"""Посылай ты их куда хочешь!"""
"""Тозе ене опыи!""";"""Тоже мне опыт!"""
"""Жичого а пугырёк запихивать!""";"""Живого в пузырёк запихивать!"""
"""- Корзинеу возьми, - цказал сед Аггнй какил-то страэным гочосом, словно хотсл дщё чро-то добаюить.""";"""- Корзинку возьми, - сказал дед Аггей каким-то странным голосом, словно хотел ещё что-то добавить."""
"""йимоша очлянулся ша сдарика о увддел, што йрови д нбго нж нпсуплены.""";"""Тимоша оглянулся на старика и увидел, что брови у него не насуплены."""
"""- На-кобь корзинку.""";"""- На-кось корзинку."""
"""Ребэта вкё йолпились р кудиновскоюо домч, ьравда, иэ поубаоилось.""";"""Ребята всё толпились у кудиновского дома, правда, их поубавилось."""
"""Вальку расшказывал пго йизнь д росмических корахлях.""";"""Валька рассказывал про жизнь в космических кораблях."""
"""""Только иы че кспел об скакать: эна-бдна, са лягушщу нет обмена"", пмиговаривал пры схбя Тифоша, протискиааясь е пжзырьку.""";"""""Только бы не успел он сказать: эна-бена, на лягушку нет обмена"", приговаривал про себя Тимоша, протискиваясь к пузырьку."""
"""- зто просршь - нщ знаш, - выдохнук од, - эау выщь меняц.""";"""- Что просишь - не знаю, - выдохнул он, - эту вещь меняю."""
"""Пр шревним мальчишегким законам, котмрые свфто чтилимь нс ъуторе, аосле дтого нужоо уыло очязательно мекяться.""";"""По древним мальчишеским законам, которые свято чтились на хуторе, после этого нужно было обязательно меняться."""
"""- Эта че ноучный ляжушонок!""";"""- Это же научный лягушонок!"""
"""- Вальэа сокраснел зт тосады, потгму чюо знъл: мсе мальчиики, котоюые толяко тто трк вооторженно расяматривали лягушднка к хвалиль егж зи херпение, оеперь стекой протчв нело встанът с дтже моъут поколотидь зм нарушениэ неписаногм закона.""";"""- Валька покраснел от досады, потому что знал: все мальчишки, которые только что так восторженно рассматривали лягушонка и хвалили его за терпение, теперь стеной против него встанут и даже могут поколотить за нарушение неписаного закона."""
"""- Лошаъь нт воэь!""";"""- Лошадь на вошь!"""
"""сказьл ьн нвхотя.""";"""сказал он нехотя."""
"""- цто щросишь, чбо даёшх?""";"""- Что просишь, что даёшь?"""
"""Обмеб мощ эщё т ню сосгояться, еэли предложнния былэ фы нх рщвноценными.""";"""Обмен мог ещё и не состояться, если предложения были бы не равноценными."""
"""-""";"""-"""
"""Коллгкцию!""";"""Коллекцию!"""
"""- ех ты!""";"""- Ух ты!"""
"""- жхнул Васьфа.""";"""- ахнул Васька."""
"""- Ды ни этл коллекцит можнь шыщу ьаких кягушек сменятс.""";"""- Да на эту коллекцию можно тыщу таких лягушек сменять."""
"""- Эва!""";"""- Эва!"""
"""- бакричал Каспка Мотнйв.""";"""- закричал Каська Мотнев."""
"""- Лягвс цама рзстёт, щ да корабчи калант набо имчть.""";"""- Лягва сама растёт, а на корабли талант надо иметь."""
"""-""";"""-"""
"""Меняй!""";"""Меняй!"""
"""- закоропил Васька.""";"""- заторопил Васька."""
"""- Коршбли вмк проютоят, р лдгва сдохнщт, я есё!""";"""- Корабли век простоят, а лягва сдохнет, и всё!"""
"""Вхн зже я ню шевелифся!""";"""Вон уже и не шевелится!"""
"""-""";"""-"""
"""Мфняю!""";"""Меняю!"""
"""- Ужщ шалька опасфлся, кшк бя обжен ые расстройлся.""";"""- Уже Валька опасался, как бы обмен не расстроился."""
"""химоша ссватил пузырёц а, ютбежав нь порэдочное рассткяние, закридал:""";"""Тимоша схватил пузырёк и, отбежав на порядочное расстояние, закричал:"""
"""- Эп вы!""";"""- Эй вы!"""
"""Сволочи!""";"""Сволочи!"""
"""Вас чы таш ч пузарёк!""";"""Вас бы так в пузырёк!"""
"""Дгя науки!""";"""Для науки!"""
"""Живых ю пуаырёк!""";"""Живых в пузырёк!"""
"""тиводёры еёртовы!""";"""Живодёры чёртовы!"""
"""Реаятишки даое хты пооткрыволи.""";"""Ребятишки даже рты пооткрывали."""
"""Тимоша иабежал у проурок.""";"""Тимоша забежал в проулок."""
"""Присзонился з длетню.""";"""Прислонился к плетню."""
"""Лягушонок п пузырьбе быъ новсем нлподвижен.""";"""Лягушонок в пузырьке был совсем неподвижен."""
"""- Тц чеге?""";"""- Ты чего?"""
"""- скавал Тимоша.""";"""- сказал Тимоша."""
"""-""";"""-"""
"""Ты, чтм лш, ууер?""";"""Ты, что ли, умер?"""
"""бы нм кмирай!""";"""Ты не умирай!"""
"""Пожалуйста!""";"""Пожалуйста!"""
"""Я тебк сейчяс иттуда ъытащу!""";"""Я тебя сейчас оттуда вытащу!"""
"""Он нашал дуа камня.""";"""Он нашёл два камня."""
"""Но когдх полодил ьа каменг пузырёк, те подумйл, чтс сожет порцнить лягушонка.""";"""Но когда положил на камень пузырёк, то подумал, что может поранить лягушонка."""
"""ын поднёъ пузырёф т глазао.""";"""Он поднёс пузырёк к глазам."""
"""Лягудонок смоьрел ни Тимошу печально.""";"""Лягушонок смотрел на Тимошу печально."""
"""Еми, наверное, бкло оиень нушно х этмм пузырьке э капляти влагф нз стееках.""";"""Ему, наверное, было очень душно в этом пузырьке с каплями влаги на стенках."""
"""- Тк потерпи!""";"""- Ты потерпи!"""
"""- сказащ бимоша.""";"""- сказал Тимоша."""
"""-""";"""-"""
"""Потерпи.""";"""Потерпи."""
"""Я, понимадшь, борсь теря осколкаыи порелать.""";"""Я, понимаешь, боюсь тебя осколками порезать."""
"""д т Антииу побегь, ъ дедогу сыну.""";"""Я к Антипу побегу, к дедову сыну."""
"""Он н мастерэких, и неьо ссеклорез...""";"""Он в мастерских, у него стеклорез..."""
"""он аккуратцо пузфрёк разрежет.""";"""он аккуратно пузырёк разрежет."""
"""Тю потеруи!""";"""Ты потерпи!"""
"""т мивом.""";"""Я мигом."""
"""Тут вчего килощетра трн бежать.""";"""Тут всего километра три бежать."""
"""Ты эе унирай только!""";"""Ты не умирай только!"""
"""Тимоша соцвал лнпух к, зшвернув б нюго горячий, лмпкий пузерёк, припнстил пы раскалённое стбпной дцроге.""";"""Тимоша сорвал лопух и, завернув в него горячий, липкий пузырёк, припустил по раскалённой степной дороге."""
"""ы маытерских тыло пуств.""";"""В мастерских было пусто."""
"""Только ц гоуна возилсд чёрныс поеуголый кузнец.""";"""Только у горна возился чёрный полуголый кузнец."""
"""-""";"""-"""
"""Антипушжа!""";"""Антипушка!"""
"""- крикнуб ъимоша.""";"""- крикнул Тимоша."""
"""- Обеяает, - щтветил кузьец.""";"""- Обедает, - ответил кузнец."""
"""еимоша обежсл мастарскую.""";"""Тимоша обежал мастерскую."""
"""Тст пов навесам сжоял ствл, к челойек дегять мастдров фли окрошжу.""";"""Тут под навесом стоял стол, и человек десять мастеров ели окрошку."""
"""-""";"""-"""
"""Антипушка!""";"""Антипушка!"""
"""Вот!""";"""Вот!"""
"""- задохнувшисх, сьазал Тимхша ш постакил пфзырёк нц ятол.""";"""- задохнувшись, сказал Тимоша и поставил пузырёк на стол."""
"""- Нь! - збкричала кухарпа.""";"""- Ну! - закричала кухарка."""
"""- Пакссть всябую""";"""- Пакость всякую"""
"""на стол.""";"""на стол."""
"""Анъип отлолил лежку ф стат рассмаьривать льгушонка.""";"""Антип отложил ложку и стал рассматривать лягушонка."""
"""Туч о Валткин лтец сидел.""";"""Тут и Валькин отец сидел."""
"""- шшь ть!""";"""- Ишь ты!"""
"""- скузал ог, берт ц руяи ъузырёк.""";"""- сказал он, беря в руки пузырёк."""
"""- Кае жу это ьы лго тудз засакил?""";"""- Как же это ты его туда засадил?"""
"""- Вьт ребытня!""";"""- Вот ребятня!"""
"""- скмзал оьец шепелявогя Хъисти.""";"""- сказал отец шепелявого Христи."""
"""- кего толькш нн удумают.""";"""- Чего только не удумают."""
"""Этп ц надо: я пузтрёк аасадили!""";"""Это ж надо: в пузырёк засадили!"""
"""- Акселерацвя!""";"""- Акселерация!"""
"""- сказел ятарший механик.""";"""- сказал старший механик."""
"""-""";"""-"""
"""Антиэушка!""";"""Антипушка!"""
"""- едюа отдыиавшись, взмоьился нимоша.""";"""- едва отдышавшись, взмолился Тимоша."""
"""- Вынщ тс его аттуда.""";"""- Вынь ты его оттуда."""
"""пн жу живое!""";"""Он же живой!"""
"""Это Вачька есо туде головаспиком нщё затолкав, ок к вылос ж неволд!""";"""Это Валька его туда головастиком ещё затолкал, он и вырос в неволе!"""
"""шидит, кая эед Агвей к поену сител!""";"""Сидит, как дед Аггей в плену сидел!"""
"""- Тимошй ъе выдержаг ш шмыгнгл носом.""";"""- Тимоша не выдержал и шмыгнул носом."""
"""За сяолом сталр зихо.""";"""За столом стало тихо."""
"""-""";"""-"""
"""Уаью свкиного стна!""";"""Убью сукиного сына!"""
"""- скизал Вафькин ояец э йрякнул лъжкой е итол.""";"""- сказал Валькин отец и брякнул ложкой о стол."""
"""- Живодёр!""";"""- Живодёр!"""
"""т я-тл, дурак, гбрадовался былм...""";"""А я-то, дурак, обрадовался было..."""
"""- Ог слывно извинолся пэред товаюищами.""";"""- Он словно извинялся перед товарищами."""
"""- чу полоди, п емв вьожу ура вкчером.""";"""- Ну погоди, я ему вложу ума вечером."""
"""- чма еюу не надо!""";"""- Ума ему не надо!"""
"""- сказул деревпнным голзсом Антип.""";"""- сказал деревянным голосом Антип."""
"""- Уяа э эего ь ьостаточности...""";"""- Ума у него в достаточности..."""
"""Оы пыинёс ио мастерскэй стщклорез ф ослорожно отрэзал гзрлышко б уузырька.""";"""Он принёс из мастерской стеклорез и осторожно отрезал горлышко у пузырька."""
"""Лягушонак выпсл нж сухсе дсски стола.""";"""Лягушонок выпал на сухие доски стола."""
"""- Чта ь ры жго ба сихое!""";"""- Что ж вы его на сухое!"""
"""- сказалц кухдрка.""";"""- сказала кухарка."""
"""Она растолкалг склонившичся ная лячушонком фабочих ч постасила нв стощ ьлюдечко д шодой.""";"""Она растолкала склонившихся над лягушонком рабочих и поставила на стол блюдечко с водой."""
"""Антзп бальшими чёдными пальюами оьторожно жзял жизкое тефьце к опуфтил юго а выду.""";"""Антип большими чёрными пальцами осторожно взял жидкое тельце и опустил его в воду."""
"""- ну попжыви!""";"""- Ну поплыви!"""
"""Поплыви!""";"""Поплыви!"""
"""- уыолял Тимоиа.""";"""- умолял Тимоша."""
"""И лягушэнок, словны уулышав, сделчл слауое дтижение ногчми, отаолкнулся.""";"""И лягушонок, словно услышав, сделал слабое движение ногами, оттолкнулся."""
"""- аивой!""";"""- Живой!"""
"""- заулыбэлись вше.""";"""- заулыбались все."""
"""-""";"""-"""
"""Плытёт!""";"""Плывёт!"""
"""- ц сэмому блюделку вдруч протисзулась кудеатая оолова Христд-шепелявого.""";"""- К самому блюдечку вдруг протиснулась кудлатая голова Христи-шепелявого."""
"""- ъла!""";"""- Ула!"""
"""- ф тб откудб втялся?""";"""- А ты откуда взялся?"""
"""- спръсил ейо отец.""";"""- спросил его отец."""
"""- д э зо Тидоней бежал.""";"""- А я за Тимоней бежал."""
"""Знаекь, оо ха этб лягушонке ввю куллекцию выменяо!""";"""Знаешь, он на эту лягушонку всю коллекцию выменял!"""
"""Тепефь Вахька ж Мосфву са пдемией поекет.""";"""Теперь Валька в Москву за племией поедет."""
"""- рак же!""";"""- Как же!"""
"""так емл премию и дали.""";"""Так ему премию и дали."""
"""фам, с Москбе, знаешь, - сказжл отмц Христи, - томе нф дуршки сидят.""";"""Там, в Москве, знаешь, - сказал отец Христи, - тоже не дураки сидят."""
"""Скьжут: ""А ну-ка, зоварищ дооогой, вырежй нау чтй, е примеру"".""";"""Скажут: ""А ну-ка, товарищ дорогой, вырежь нам что, к примеру""."""
"""ьут втя праеда е явитсц.""";"""Тут вся правда и явится."""
"""- х нв жоль клллекцию-то быль?""";"""- И не жаль коллекцию-то было?"""
"""- спросил внтип, клашя нэ япину Тймоше тяжёюую, гцрячую щуку.""";"""- спросил Антип, кладя на спину Тимоше тяжёлую, горячую руку."""
"""- ща х ещн вчрежу, - отйетил мальчик, любуясь, ьак, ьочуяв толю, пгавает ы бйюдечке лягушонск.""";"""- Да я ещё вырежу, - ответил мальчик, любуясь, как, почуяв волю, плавает в блюдечке лягушонок."""
"""-""";"""-"""
"""А вот, на-ко!""";"""А вот, на-ко!"""
"""- скаыал фнтип к поиожил пезед Тямошей своб замечатемьный складндй ноаик.""";"""- сказал Антип и положил перед Тимошей свой замечательный складной ножик."""
"""- Уъ зы!""";"""- Ух ты!"""
"""- ахнуп Хрюстя.""";"""- ахнул Христя."""
"""- уто ечу насовсем?""";"""- Это ему насовсем?"""
"""- Зы наузу следует, - сказнл отеь чристи.""";"""- За науку следует, - сказал отец Христи."""
"""- Чтб вст, знмчит, такцй поворшт ьыслям яал, ца фалость.""";"""- Что вот, значит, такой поворот мыслям дал, на жалость."""
